master_run_number,chirp_rate,fraction,CA+_mean,CA+_std_dev,CA+_percentile_0,CA+_percentile_10,CA+_percentile_20,CA+_percentile_30,CA+_percentile_40,CA+_percentile_50,CA+_percentile_60,CA+_percentile_70,CA+_percentile_80,CA+_percentile_90,CA+_percentile_100,CA-_mean,CA-_std_dev,CA-_percentile_0,CA-_percentile_10,CA-_percentile_20,CA-_percentile_30,CA-_percentile_40,CA-_percentile_50,CA-_percentile_60,CA-_percentile_70,CA-_percentile_80,CA-_percentile_90,CA-_percentile_100
15795,-25.09235,0.4218364909896862,4334.542294117647,2011.2839983978413,-2705.0,1766.0,2660.0,3276.0,3823.0,4326.0,4833.0,5356.0,5996.0,6882.0,12637.0,391.8551176470588,666.0285591895911,-7784.0,283.0,315.0,339.0,360.0,380.0,396.0,416.0,440.0,473.0,32767.0
15795,-25.09214,0.4284809133478911,4303.273569321534,2039.9396280102967,-2959.0,1686.0,2616.0,3251.0,3787.0,4294.0,4813.0,5340.0,5988.0,6874.4000000000015,12625.0,391.1895575221239,665.1720320409892,-2177.0,287.0,315.0,339.0,360.0,376.0,396.0,412.0,436.0,469.0,32767.0
15795,-25.09151,0.4889800567123333,4380.135044247788,2031.1437698495026,-3361.0,1794.0,2696.0,3336.0,3879.0,4378.0,4881.0,5421.0,6053.0,6954.0,12319.0,391.10489675516226,710.7371816129041,-32767.0,287.0,319.0,339.0,360.0,380.0,396.0,416.0,440.0,473.0,32767.0
15795,-25.0955,0.6016556698950907,4548.632,2022.9595039387218,-3067.0,1988.0,2853.0,3513.0,4052.0,4547.0,5030.0,5570.0,6197.0,7087.4000000000015,13410.0,387.5953529411765,642.2492564249528,-22972.0,287.0,319.0,339.0,360.0,376.0,396.0,416.0,436.0,469.0,32767.0
15795,-25.09025,0.6149920210090819,4561.131,1986.6128596071876,-2552.0,2028.0,2905.0,3533.0,4064.0,4567.0,5063.0,5582.0,6210.0,7063.4000000000015,15225.0,388.6166470588235,646.3233833947796,-24477.0,287.0,319.0,339.0,360.0,380.0,396.0,416.0,436.0,473.0,32767.0
15795,-25.09088,0.576567599198413,4273.1755882352945,2038.7628665280026,-4202.0,1706.0,2575.0,3187.0,3722.0,4233.0,4761.0,5316.0,5952.0,6878.4000000000015,12275.0,386.9880588235294,678.1279771884092,-32767.0,283.0,315.0,339.0,360.0,380.0,396.0,416.0,436.0,469.0,32767.0
15795,-25.09221,0.4265292662610735,4088.371563421829,2026.905987488718,-3957.0,1529.0,2414.0,3054.0,3581.0,4081.0,4576.0,5131.0,5747.0,6656.0,15044.0,393.4029498525074,666.090175309031,-6073.0,287.0,319.0,343.0,364.0,380.0,396.0,416.0,440.0,473.0,32767.0
15795,-25.092,0.4199154890969824,4109.564955752212,1982.5937130515388,-3478.0,1573.0,2459.0,3078.0,3614.0,4101.0,4592.0,5103.0,5727.800000000003,6652.4000000000015,12476.0,386.17026548672567,694.8813530276052,-32767.0,287.0,315.0,339.0,360.0,376.0,396.0,416.0,440.0,469.0,32767.0
15795,-25.09347,0.5618993111003808,4157.314058823529,2012.186720844645,-2999.0,1629.0,2491.0,3103.0,3634.0,4133.0,4632.0,5183.0,5827.0,6697.0,13542.0,385.6664705882353,712.9134472211333,-32767.0,287.0,315.0,339.0,360.0,376.0,396.0,412.0,436.0,469.0,32767.0
15795,-25.09305,0.5229830561016104,4141.945132743363,2041.7645666295996,-3546.0,1544.6000000000004,2459.0,3074.0,3614.0,4121.0,4640.0,5179.0,5807.800000000003,6729.0,14355.0,395.3,652.8332818521168,-29.0,287.0,319.0,343.0,364.0,380.0,400.0,420.0,440.0,473.0,32767.0
